categories,descriptions,names
"['7', '15', '4']",1820. ספינת ציד לווייתנים נתקלת בלוויתן ענק שמונע מהם לחזור לחוף וצריכים להתמודד במשך 90 יום מאות קילומטרים מהחוף בלב הים,בלב ים (תלת מימד)
"['10', '11']","זוכה פרס הסרט התיעודי הטוב ביותר בפסטיבל ירושלים 2015. ״הוטליין״ מתעד את העבודה היומיומית של ""מוקד לפליטים ולמהגרים"", עמותה שמגנה על זכויותיהם של חסרי מעמד בישראל. קבלת קהל, ביקורים במתקני הכליאה, השתתפות בוועדות הכנסת, דיונים בבתי המשפט, ליווי לקוחות לרש ...  המשך ...",הוטליין
"['4', '6']","עיבוד חדשני לטרגדיה הקלאסית של שייקספיר על מלך סקוטלנד, לוחם חסר פחד ומנהיג מעורר השראה, ונפילתו בצל השאפתנות והגאווה.",מקבת'
"['8', '9']","מגי היא אם חד-הורית מניו-יורק המתרגלת לחייה החדשים כרווקה. בניסיון להתקרב לביתה סאמר, נערה מתבגרת ומרדנית, היא מחליטה לצאת עימה לטיול בכפר באיטליה, בו ביקרה פעמים רבות כשהייתה צעירה. בכפר פוגשת מגי את לוקה, אהובה מלפני עשרים שנים. בזמן שהשניים מגששים את ד ...  המשך ...",כל הדרכים מובילות לרומא
"['7', '4', '6']","קצינת המודיעין קתרין פאוול, עובדת מבונקר תת קרקעי בלונדון ומנהלת מעקב אחר רשימה של חשודי הטרור המבוקשים ביותר בעולם. משימתה כרוכה בפריסה של כוחות מיוחדים על הקרקע וסיוע במעקב האווירי של ארה""ב באמצעות מזל""ט המופעל ע""י אמריקאי צעיר. המבצע מתחיל בצורה חלקה,  ...  המשך ...",עין בשמיים
"['10', '11']",הסרט משרטט את דמותה את חייה מלאי התהפוכות של המשוררת תרצה אתר אשר נותרו אפופי מסתורין גם שנים רבות לאחר מותה הטראגי בגיל 36 אמצעות ראיונות אינטימיים עם האנשים הקרובים לה ביותר.,תרצה אתר - ציפור בחדר
"['16', '2', '15']",קובו חי את חיו השקטים בכפר קטן על גדות הנהר ביפן. שלוות חייו מופרת כאשר רוח מן העבר משנה את חייו ומעוררת מחדש נקמה עתיקת ימים. כתוצאה מכך קובו נרדף על ידי שדים ומפלצות. במהלך הרפתקאותיו קובו מאחד כוחות עם הקוף והחיפושית. ביחד הם מנסים לפתור את תעלומת מותו ...  המשך ...,קובו: אגדה של סמוראי
"['16', '2', '8']","פעם חסידות הביאו תינוקות, היום הן מביאות חבילות משלוחים בשם תאגיד אינטרנט ענקי. ג'וניור הוא חסידת המשלוחים הראשית בחברה שעומד לקבל קידום, כשהוא בטעות מפעיל את מכונת ייצור התינוקות ומביא לעולם תינוקת חמודה בניגוד לחוק. ג'וניור נואש למסור את חבילת הצרות הזא ...  המשך ...",חסידודס
"['16', '2']","ורה, מנהלת שיווק נדל""ן, מגיעה לאזור מחייתו של דב הקוטב נורם כדי לצלם פרסומת טלוויזיה למכירת בתי יוקרה באזור. נורם יודע שהוא צריך לעשות משהו כדי להציל את ביתו מידיו של הבוס שלה - מר גרין. נורם עוזב את משפחתו ויוצא על ספינה לניו יורק, מלווה בשלושה מכרסמים ז ...  המשך ...",נורם בעיר הגדולה
"['4', '13']","ואל היא אומנת בסאו פאולו שהותירה את האחריות לגידול בתה לקרוביה בצפון ברזיל. היא משרתת בנאמנות את מעסיקיה האמידים מדי יום ביומו, ומגדלת את בנם מילדות כאומנת. 13 שנה לאחר מכן מגיעה לעיר בתה ג'סיקה על מנת להירשם לאוניברסיטה. רוח הנעורים השופעת של ג'סיקה וחינ ...  המשך ...",אמא שנייה
